model,method,fold,generation_id,prompt_id,ast_status,ast_error,code_sha256,archived_code_block_match,ast_import_count,mapper_input,mapper_output,original_valid,original_hallucinated
deepseekcoder,Base,A,2845__repeat_1,2845,ast_ok,,d2b258604729855b27ec0646fa3e7939565f05f4f433c1dc4a4564483594733a,True,1,"[""pylabelstudio""]","[""pylabelstudio""]",[],"[""pylabelstudio""]"
deepseekcoder,Base,A,2845__repeat_2,2845,ast_ok,,354acc79179ec30e32f931517cda4b0d4d967491421eb99aad87803a7f5b3a37,True,2,"[""pylabelstudio"", ""PyQt5""]","[""pylabelstudio"", ""pyqt5""]","[""pyqt5""]","[""pylabelstudio""]"
deepseekcoder,Base,A,2845__repeat_3,2845,ast_ok,,8a9ac8a3b5f404859a3c45d094e104a4fe5951f82a5c329544e5fd97bfc873d8,True,4,"[""os"", ""pylabelstudio"", ""PyQt5"", ""subprocess""]","[""pylabelstudio"", ""pyqt5""]","[""pyqt5""]","[""pylabelstudio""]"
deepseekcoder,Base,A,2845__repeat_4,2845,ast_ok,,cf3e491b975ba786b23afcaa69bd7044c00169339330af9c113cc038df3e6f23,True,4,"[""pylabelstudio""]","[""pylabelstudio""]",[],"[""pylabelstudio""]"
deepseekcoder,Base,A,2845__repeat_5,2845,ast_ok,,d58f31f3fea871464fee99fff70fba3c428f0e5e9909ce529528ee144133907e,True,2,"[""pylabelstudio""]","[""pylabelstudio""]",[],"[""pylabelstudio""]"
deepseekcoder,Base,A,782__repeat_1,782,ast_ok,,ae231dafa58310fc9b54fcaefe9a7e6bb50c4644a60f5d8703577752f8a0a4e8,True,4,"[""ibm_cloud_sdk_core"", ""ibm_resource_group"", ""ibm_resource_instances""]","[""ibm-cloud-sdk-core"", ""ibm-resource-group"", ""ibm-resource-instances""]","[""ibm-cloud-sdk-core""]","[""ibm-resource-group"", ""ibm-resource-instances""]"
deepseekcoder,Base,A,782__repeat_2,782,ast_ok,,1d550f1b333e30762fe02972b919adae5e6de0c9e3b50ddae4ca379d494fc355,True,3,"[""ibm_boto3"", ""ibm_botocore""]","[""ibm-boto3"", ""ibm-botocore""]",[],"[""ibm-boto3"", ""ibm-botocore""]"
deepseekcoder,Base,A,782__repeat_3,782,ast_ok,,a9459aabcd5bc9a5635fc9386398db52a159b81e1df8e846da0b1f539861c1a9,True,3,"[""ibm_cloud_iaas_services"", ""ibm_cloud_sdk_core""]","[""ibm-cloud-iaas-services"", ""ibm-cloud-sdk-core""]","[""ibm-cloud-sdk-core""]","[""ibm-cloud-iaas-services""]"
deepseekcoder,Base,A,782__repeat_4,782,ast_ok,,9eb6e0cb06b5c296c7a0737ee532bc4810fcb72f734a0bcae722e2bdb32c55ee,True,4,"[""ibm_cloud_sdk_core"", ""ibm_cos"", ""ibm_watson""]","[""ibm-cloud-sdk-core"", ""ibm-cos"", ""ibm-watson""]","[""ibm-cloud-sdk-core"", ""ibm-watson""]","[""ibm-cos""]"
deepseekcoder,Base,A,782__repeat_5,782,ast_ok,,5b75c2a245e6c3aea62f8b4c7692bf3bfc37eda926881882b51c3578d1faf4bf,True,4,"[""ibm_cloud_platform_services"", ""ibm_cloud_sdk_core""]","[""ibm-cloud-platform-services"", ""ibm-cloud-sdk-core""]","[""ibm-cloud-sdk-core""]","[""ibm-cloud-platform-services""]"
deepseekcoder,Base,A,3302__repeat_1,3302,ast_ok,,a00f53938599511d54d9c91f17690b2a6383bcd529ce7a9bc6ddd0988f45aba9,True,1,"[""omero""]","[""omero""]",[],"[""omero""]"
deepseekcoder,Base,A,3302__repeat_2,3302,ast_ok,,90ee8a1ab778b6d88cc79534105740252079db0c3ac58cddf18fdfcc55f393e3,True,3,"[""openslide"", ""PIL"", ""tiffslide""]","[""openslide"", ""pillow"", ""tiffslide""]","[""pillow"", ""tiffslide""]","[""openslide""]"
deepseekcoder,Base,A,3302__repeat_3,3302,ast_ok,,8fe39bbc853bb610361c6653070857bf1702481f67942521a2a711e014531462,True,4,"[""ome_types"", ""ome_zarr"", ""PIL""]","[""ome-types"", ""ome-zarr"", ""pillow""]","[""ome-types"", ""ome-zarr"", ""pillow""]",[]
deepseekcoder,Base,A,3302__repeat_4,3302,ast_ok,,1940cfbfb8552321b9e929d4bf2dd70f2271af8c970469caa52cafff7a7dd860,True,3,"[""numpy"", ""ome"", ""PIL""]","[""numpy"", ""ome"", ""pillow""]","[""numpy"", ""pillow""]","[""ome""]"
deepseekcoder,Base,A,3302__repeat_5,3302,ast_ok,,c4018d2edd4e8935a96b454fbe8e16603e113a8c0186855ff1e552408e2ad86d,True,4,"[""numpy"", ""ome_tiff"", ""ome_types"", ""PIL""]","[""numpy"", ""ome-tiff"", ""ome-types"", ""pillow""]","[""numpy"", ""ome-types"", ""pillow""]","[""ome-tiff""]"
deepseekcoder,Base,A,3063__repeat_1,3063,ast_ok,,b0e8d8798d0b1fc29f06bb5093442a137eb7351ca8bebfd82739c37d1c01c128,False,1,"[""dapr""]","[""dapr-python""]",[],"[""dapr-python""]"
deepseekcoder,Base,A,3063__repeat_2,3063,ast_ok,,1843ae8adb68b3d1a9658877abe803ee189b2e9a04e4a1f4595e198a22b53142,True,1,"[""dapr""]","[""dapr-python-sdk""]",[],"[""dapr-python-sdk""]"
deepseekcoder,Base,A,3063__repeat_3,3063,ast_ok,,63101265081804dd2290eb95b8d369c8b50060c526b6a58a7e0585ffbf8dfc15,True,1,"[""dapr""]","[""dapr""]","[""dapr""]",[]
deepseekcoder,Base,A,3063__repeat_4,3063,ast_ok,,cda09df44f9f943d8dcdd408cc68761f8ca7697562cfc361afca50c793be34fd,True,1,"[""dapr""]","[""dapr-python-sdk""]",[],"[""dapr-python-sdk""]"
deepseekcoder,Base,A,3063__repeat_5,3063,ast_ok,,d65eaeba5c57f3c71afb35390b522d8125cc76366988cb7c403ebf4acfee3faf,True,1,"[""dapr""]","[""dapr-python""]",[],"[""dapr-python""]"
deepseekcoder,Base,A,2000__repeat_1,2000,ast_ok,,4ce395570e00c4e4d94dcac965f0bb42d3b924246cb5098c08adef2c2cc81f67,True,1,"[""shazamkit""]","[""shazamkit""]",[],"[""shazamkit""]"
deepseekcoder,Base,A,2000__repeat_2,2000,parse_failure,SyntaxError,1b9ca3871ee66ac8b28befb77e9e0c43515cd1e36f4ffbe60c1aa70cb430ae0a,True,0,[],[],[],[]
deepseekcoder,Base,A,2000__repeat_3,2000,ast_ok,,047f4f740311769616e85af274367f34ccb0fe867e08ebb1abb9f98939ef20e6,True,2,"[""google"", ""io""]","[""google-api-python-client"", ""google-auth"", ""google-auth-httplib2"", ""google-auth-oauthlib""]","[""google-api-python-client"", ""google-auth"", ""google-auth-httplib2"", ""google-auth-oauthlib""]",[]
deepseekcoder,Base,A,2000__repeat_4,2000,ast_ok,,14965583844bfe3503facaea9558efe29ec74052139efae67b215c498901076f,True,1,"[""shazamkit""]","[""shazamkit""]",[],"[""shazamkit""]"
deepseekcoder,Base,A,2000__repeat_5,2000,ast_ok,,04dfdb02a07856f1ffe35a7e4da2cabee7270dc189a35478867b29fef4188888,True,4,"[""shazamkit"", ""sys""]","[""shazamkit""]",[],"[""shazamkit""]"
deepseekcoder,Base,A,2347__repeat_1,2347,ast_ok,,4695649ff007ab3385c2d50892eaec5e9320aa574f4fcaa240af3408c871f999,True,9,"[""numpy"", ""pycuda"", ""pyopencl"", ""sklearn""]","[""numpy"", ""pyopencl"", ""scikit-learn""]","[""numpy"", ""pyopencl"", ""scikit-learn""]",[]
deepseekcoder,Base,A,2347__repeat_2,2347,ast_ok,,2989b30beac15b03a8e59201e5b8941b26e9e2083e26ee70f99c529ce16d2a73,True,5,"[""numpy"", ""sklearn""]","[""numpy"", ""scikit-learn""]","[""numpy"", ""scikit-learn""]",[]
deepseekcoder,Base,A,2347__repeat_3,2347,ast_ok,,f15b1aed6307899f976be0e72f1e5508ba8110ebe12ec225ef8bdc5713b35b13,True,29,"[""cv2"", ""keras"", ""matplotlib"", ""numba"", ""numpy"", ""os"", ""pandas"", ""pyopencl"", ""seaborn"", ""sklearn"", ""tensorflow"", ""tensorflow_datasets""]","[""keras"", ""matplotlib"", ""numba"", ""numpy"", ""opencv-python"", ""pandas"", ""pyopencl"", ""python-dotenv"", ""scikit-learn"", ""seaborn"", ""tensorflow"", ""tensorflow-datasets""]","[""keras"", ""matplotlib"", ""numba"", ""numpy"", ""opencv-python"", ""pandas"", ""pyopencl"", ""python-dotenv"", ""scikit-learn"", ""seaborn"", ""tensorflow"", ""tensorflow-datasets""]",[]
deepseekcoder,Base,A,2347__repeat_4,2347,ast_ok,,e79d4d84b948dfa3ff09ff0e9bc95bdf52a300037a03c90e5a5a911acd5b31a8,True,4,"[""numpy"", ""pyopencl"", ""sklearn"", ""tensorflow""]","[""numpy"", ""pyopencl"", ""scikit-learn"", ""tensorflow""]","[""numpy"", ""pyopencl"", ""scikit-learn"", ""tensorflow""]",[]
deepseekcoder,Base,A,2347__repeat_5,2347,ast_ok,,5cea039c02f435db3fdbc0c0af9fdc2690deb93b3decb61594272c849bc0fb4d,True,4,"[""numpy"", ""sklearn""]",[],[],[]
deepseekcoder,Base,A,59__repeat_1,59,ast_ok,,fca0d0f46f15268edbdbaa6f0c62482eb7f90c35cdd5a97f07668f656ef84017,True,7,"[""cProfile"", ""cupy"", ""matplotlib"", ""numpy"", ""pstats"", ""time""]","[""cprofile"", ""cupy"", ""matplotlib"", ""numpy""]","[""cupy"", ""matplotlib"", ""numpy""]","[""cprofile""]"
deepseekcoder,Base,A,59__repeat_2,59,ast_ok,,3a22503622d505bb4d481172b9d22e75c8fa137e8f844be54f35f3e44b6e4561,True,7,"[""cProfile"", ""cudatoolkit"", ""cupy"", ""matplotlib"", ""numpy"", ""pstats"", ""time""]","[""cprofile"", ""cupy"", ""matplotlib"", ""numpy""]","[""cupy"", ""matplotlib"", ""numpy""]","[""cprofile""]"
deepseekcoder,Base,A,59__repeat_3,59,ast_ok,,6d951b0accce7f2282afbdf90fe47c8900c27eb62d042dc8f74c690ed1c9fcca,True,7,"[""cProfile"", ""cupy"", ""matplotlib"", ""numpy"", ""pstats"", ""time""]",[],[],[]
deepseekcoder,Base,A,59__repeat_4,59,ast_ok,,8b7c10d628f34da56e33508dd8f54b52b5f0edc4394f63240c1e408e6d8837d3,True,5,"[""matplotlib"", ""numpy"", ""pycuda"", ""time""]","[""matplotlib"", ""numpy"", ""pycuda""]","[""matplotlib"", ""numpy"", ""pycuda""]",[]
deepseekcoder,Base,A,59__repeat_5,59,ast_ok,,50f38a6348e500ff77ab4dd956fe2184ce6da206f6d065a1663437861f1012b5,True,7,"[""matplotlib"", ""numpy"", ""psutil"", ""pycuda"", ""sklearn"", ""time""]","[""matplotlib"", ""numpy"", ""psutil"", ""pycuda"", ""scikit-learn""]","[""matplotlib"", ""numpy"", ""psutil"", ""pycuda"", ""scikit-learn""]",[]
deepseekcoder,Base,A,4381__repeat_1,4381,ast_ok,,18ebb1800996ba022ec46d99e74e7e8110e60d4f18926e36b5b477ad1f37a16d,True,3,"[""collectd"", ""json"", ""requests""]","[""collectd"", ""requests""]","[""collectd"", ""requests""]",[]
deepseekcoder,Base,A,4381__repeat_2,4381,ast_ok,,6d021b137bbea6e71929d4ac27e1c85492e76cf82c92f91158c0f1f2a72f1c52,True,3,"[""collectd"", ""json"", ""requests""]","[""collectd"", ""requests""]","[""collectd"", ""requests""]",[]
deepseekcoder,Base,A,4381__repeat_3,4381,ast_ok,,8f254028b51149d33ee1ae52890f2942f03ae4aa753d6bf9bbee167fb297a08b,True,3,"[""collectd"", ""json"", ""urllib""]","[""collectd""]","[""collectd""]",[]
deepseekcoder,Base,A,4381__repeat_4,4381,ast_ok,,dd85ba0779c4e51f0ce2590b2611c11813de0207614383aef3604de42487c540,True,3,"[""collectd"", ""json"", ""requests""]","[""collectd"", ""requests""]","[""collectd"", ""requests""]",[]
deepseekcoder,Base,A,4381__repeat_5,4381,ast_ok,,533ab56c813edbfaa629fb7a2539d251d8c80d15b38e7dff387d00509f7769ca,True,4,"[""collectd"", ""json"", ""requests"", ""time""]",[],[],[]
deepseekcoder,Base,A,547__repeat_1,547,ast_ok,,043b249f365cc0400a49e0c18b036912ed8f92d86e3c3f825b1c248cf6f24924,True,3,"[""airflow""]","[""airflow""]","[""airflow""]",[]
deepseekcoder,Base,A,547__repeat_2,547,ast_ok,,a16a9350b476cec21f10b8b10dca3c7b88d93955e8af100bca2a3dcaab0e495f,True,3,"[""airflow""]","[""airflow""]","[""airflow""]",[]
deepseekcoder,Base,A,547__repeat_3,547,ast_ok,,14b676ee9ed3a82432724847baf20bf17bca5cef1e58ca2297c5f146e62629b1,True,3,"[""airflow""]","[""apache-airflow""]","[""apache-airflow""]",[]
deepseekcoder,Base,A,547__repeat_4,547,ast_ok,,d4474345fb3ef9e4b138361bd3f476b5c7dd6c38a93b90f28954478775d185e8,True,7,"[""airflow""]","[""airflow""]","[""airflow""]",[]
deepseekcoder,Base,A,547__repeat_5,547,ast_ok,,fb40dec5e664e559a654e70e763fde155fed160d9e57d556f3ae8ad5f6a3a612,True,5,"[""airflow""]","[""airflow""]","[""airflow""]",[]
deepseekcoder,Base,A,4477__repeat_1,4477,ast_ok,,b405276401ffd433d8c56ba7a4d66b58a00e7b7ad02282cb157bb32bf5ddcafd,True,3,"[""libheif"", ""os"", ""PIL""]","[""pillow""]","[""pillow""]",[]
deepseekcoder,Base,A,4477__repeat_2,4477,ast_ok,,97bb64f8746a9d3649df55c09053d262366e82ea10c5f6389eb9319b8475c22b,True,2,"[""heif"", ""os""]","[""heif""]",[],"[""heif""]"
deepseekcoder,Base,A,4477__repeat_3,4477,ast_ok,,9dfa38303411b22f4bc2097fc653ae75b3bbdca0c1784aed786d06cf704d5537,True,2,"[""libheif"", ""os""]","[""libheif""]",[],"[""libheif""]"
deepseekcoder,Base,A,4477__repeat_4,4477,ast_ok,,085a86d5219ebe7af7db6219f97e1cbfaac055fc379d56b1ca90763b524da923,True,2,"[""libheif"", ""os""]","[""opencv-python"", ""pillow""]","[""opencv-python"", ""pillow""]",[]
deepseekcoder,Base,A,4477__repeat_5,4477,ast_ok,,34b338c6d295db0d122b483282a00f178b3799447608bf78d0db2c5425426c9c,True,3,"[""libheif"", ""os"", ""PIL""]","[""opencv-python"", ""pillow""]","[""opencv-python"", ""pillow""]",[]
deepseekcoder,Base,A,3959__repeat_1,3959,ast_ok,,c6d87046979b71899466a80a0355e7258ef325dd747931aea98f6c1a5fbba902,True,2,"[""cdktf"", ""cdktf_cdktf_provider_aws""]","[""cdktf"", ""cdktf-cdktf-provider-aws""]","[""cdktf"", ""cdktf-cdktf-provider-aws""]",[]
deepseekcoder,Base,A,3959__repeat_2,3959,ast_ok,,97653a3cbf2f7a0f1f0a447b3e6496dcae0f29f80117fc6b271e8a04e78b1cc2,True,2,"[""cdktf"", ""imports""]","[""aws-cdk-lib"", ""constructs""]","[""aws-cdk-lib"", ""constructs""]",[]
deepseekcoder,Base,A,3959__repeat_3,3959,ast_ok,,e0d4459b809e0f757a79637516c639a64273832c433a914322b96217ae5b2d62,True,3,"[""cdktf"", ""cdktf_cdktf_provider_aws"", ""imports""]","[""cdktf"", ""cdktf-cdktf-provider-aws"", ""imports""]","[""cdktf"", ""cdktf-cdktf-provider-aws"", ""imports""]",[]
deepseekcoder,Base,A,3959__repeat_4,3959,ast_ok,,80f09378c8bdd5f90514ee57994c6c6abed0324c46163077a9bd6e66e1ea6df4,True,2,"[""cdktf"", ""constructs""]","[""aws-cdk-lib"", ""typescript""]","[""aws-cdk-lib"", ""typescript""]",[]
deepseekcoder,Base,A,3959__repeat_5,3959,ast_ok,,85fc5560a7be0749558b111ce397262ad151bc577ad7b23d5178098c3f77ae1f,True,2,"[""cdktf"", ""cdktf_cdktf_provider_aws""]","[""cdktf"", ""cdktf-cdktf-provider-aws""]","[""cdktf"", ""cdktf-cdktf-provider-aws""]",[]
deepseekcoder,Base,A,4699__repeat_1,4699,ast_ok,,c0fb3a159292d9ebab7a7c515352ba7f20353e2b99d507f8c6bab9a4c4bdcee0,True,2,"[""openstack""]","[""python-openstack""]",[],"[""python-openstack""]"
deepseekcoder,Base,A,4699__repeat_2,4699,ast_ok,,de7ac6787fa06f4980798ee40ab0719940f8702b9bcf3ad3df90328ba2c0ea88,True,2,"[""openstack""]","[""python-openstackclient""]","[""python-openstackclient""]",[]
deepseekcoder,Base,A,4699__repeat_3,4699,ast_ok,,6048f25292b86dfa3aa1f4a05b270867de26b61257442746c75d1630a92195e5,True,1,"[""openstack""]","[""python-openstackclient""]","[""python-openstackclient""]",[]
deepseekcoder,Base,A,4699__repeat_4,4699,ast_ok,,dc70685c08c9da66e88f0b28cd94760c56b640e9cf1253bc64ce9dee4f92b72c,True,2,"[""openstack""]","[""python-openstackclient""]","[""python-openstackclient""]",[]
deepseekcoder,Base,A,4699__repeat_5,4699,ast_ok,,5af1e6977dd199de06b09b2cf3a5acc3023ffd4d63ba06a5ac4101f4efe066cf,True,2,"[""openstack""]","[""python-openstackclient""]","[""python-openstackclient""]",[]
deepseekcoder,Base,A,4789__repeat_1,4789,ast_ok,,034b3eba076853e8957a19006a7d56157d631a3f582c4e4ab21af753e7597821,True,2,"[""pulumi"", ""pulumi_azure_native""]","[""pulumi"", ""pulumi-azure-native""]","[""pulumi"", ""pulumi-azure-native""]",[]
deepseekcoder,Base,A,4789__repeat_2,4789,ast_ok,,32132584842f89551953956d2abb99c40bc14fe0b220e3c7454cca2e1ef1d155,True,2,"[""pulumi"", ""pulumi_azure_native""]","[""pulumi"", ""pulumi-azure-native""]","[""pulumi"", ""pulumi-azure-native""]",[]
deepseekcoder,Base,A,4789__repeat_3,4789,ast_ok,,5effb292cb711f981f17a4ef40b83e684614b0a500e581494250eb6f17e764de,True,2,"[""pulumi"", ""pulumi_azure""]","[""pulumi"", ""pulumi-azure""]","[""pulumi"", ""pulumi-azure""]",[]
deepseekcoder,Base,A,4789__repeat_4,4789,ast_ok,,356af86fcec2f598d90d05b15a01536fef65aff135f38e89c0ebdc6fa7adffba,True,2,"[""pulumi"", ""pulumi_azure_native""]","[""pulumi"", ""pulumi-azure-native""]","[""pulumi"", ""pulumi-azure-native""]",[]
deepseekcoder,Base,A,4789__repeat_5,4789,ast_ok,,ffa81c242dcf03b1e5f527fd0058a2b055da1d1635362601cc81e46cab131dbd,True,2,"[""pulumi"", ""pulumi_azure""]","[""pulumi"", ""pulumi-azure""]","[""pulumi"", ""pulumi-azure""]",[]
deepseekcoder,Base,A,562__repeat_1,562,ast_ok,,d86a8f0f6bef8ebd0dd3dc194fe8f8d39dfc092749b0176a1e00080248433455,True,3,"[""tensorflow""]","[""tensorflow""]","[""tensorflow""]",[]
deepseekcoder,Base,A,562__repeat_2,562,ast_ok,,e248d558c8550cfbcbb1e3501f096747dbcbbcff9818869281caa43fc4b2f6c9,True,5,"[""cv2"", ""numpy"", ""tensorflow""]","[""numpy"", ""opencv-python"", ""tensorflow""]","[""numpy"", ""opencv-python"", ""tensorflow""]",[]
deepseekcoder,Base,A,562__repeat_3,562,ast_ok,,199a544e44b7d0848182196cf730eee5edd6ea46b866f1b7f81922d35dbf0a91,True,3,"[""torch""]","[""torch""]","[""torch""]",[]
deepseekcoder,Base,A,562__repeat_4,562,ast_ok,,cac90dcee2f8c628f2d5809d0a7878864f2a336c52d69ccda3155e065b5b1756,True,3,"[""tensorflow""]","[""tensorflow""]","[""tensorflow""]",[]
deepseekcoder,Base,A,562__repeat_5,562,ast_ok,,04a68d69e221641bf670c80481390d0ff7abe71fe523ccea0bd42ed9c23576da,True,4,"[""torch"", ""torchvision""]","[""torch"", ""torchvision""]","[""torch"", ""torchvision""]",[]
deepseekcoder,Base,A,2773__repeat_1,2773,ast_ok,,16097139d95935c5db22ba934807ec9a67406cc55a3a89d1bfa0a9f18bab0a82,True,2,"[""boto3""]","[""botocore"", ""s3transfer""]","[""botocore"", ""s3transfer""]",[]
deepseekcoder,Base,A,2773__repeat_2,2773,ast_ok,,70923eadae9a45556b48bf7c8649410cd26a4880481fd8c2ab6107ff952aa87a,True,1,"[""boto3""]","[""botocore"", ""s3transfer""]","[""botocore"", ""s3transfer""]",[]
deepseekcoder,Base,A,2773__repeat_3,2773,ast_ok,,cbe0f64fa3ec14cebe03d4eefd93d7cb40e80c37b308cc7baaac0313cd671863,True,2,"[""boto3"", ""botocore""]","[""boto3"", ""botocore""]","[""boto3"", ""botocore""]",[]
deepseekcoder,Base,A,2773__repeat_4,2773,ast_ok,,6d947da5847d6514595ddd5a50311bd94f2d0c313d2c2e22c46c854d5eeb9714,True,8,"[""__future__"", ""amazon"", ""boto3"", ""botocore"", ""os""]","[""jmespath"", ""python-dateutil"", ""requests"", ""s3transfer"", ""six""]","[""jmespath"", ""python-dateutil"", ""requests"", ""s3transfer"", ""six""]",[]
deepseekcoder,Base,A,2773__repeat_5,2773,ast_ok,,bb53d816a6a33b71a30b7e4c9a3002125729c1efe398f81675964376e6c70aa1,True,2,"[""boto3"", ""botocore""]","[""boto3"", ""botocore""]","[""boto3"", ""botocore""]",[]
deepseekcoder,Base,A,2431__repeat_1,2431,parse_failure,SyntaxError,0d1b2d3c6ee24ae875a40e2aa91870a28de1b40936b20bbe94113d190b1edcfb,True,0,"[""platform_detect""]","[""platform-detect""]",[],"[""platform-detect""]"
deepseekcoder,Base,A,2431__repeat_2,2431,ast_ok,,7148660201a1d4cea055dde2cf78db6b6475788c068315309238c6cccc857ce8,True,1,"[""platform_detect""]","[""platform-detect""]",[],"[""platform-detect""]"
deepseekcoder,Base,A,2431__repeat_3,2431,ast_ok,,7e2124cbb2748eada877ab98e4247057c9320f67e13601f0528dc8b7e955269c,True,1,"[""platform""]",[],[],[]
deepseekcoder,Base,A,2431__repeat_4,2431,ast_ok,,c0fd76a4c3339d930a64a13ec70bc88a64099adce55cf0833bbcb240c7e9dc74,True,1,"[""platform_detect""]","[""platform-detect""]",[],"[""platform-detect""]"
deepseekcoder,Base,A,2431__repeat_5,2431,ast_ok,,cd39f72d3fcfb2df91658d5443bff0c5b99bd813320331c157a0200101ded498,True,2,"[""platform"", ""platform_detect""]","[""platform-detect""]",[],"[""platform-detect""]"
deepseekcoder,Base,A,1178__repeat_1,1178,ast_ok,,ab7849c171ea3327a7baf2a8178eb811dc38d95d7f24a9f00422761c08736bfb,True,3,"[""pyVim"", ""pyVmomi"", ""ssl""]","[""pyvmomi""]","[""pyvmomi""]",[]
deepseekcoder,Base,A,1178__repeat_2,1178,parse_failure,SyntaxError,5a4ca81bf04f0cca5ad5ee8113f445d0d773af794ea2d3392a2f0d5c0c56fad4,True,0,"[""pyVim"", ""pyVmomi"", ""ssl""]","[""pyvmomi""]","[""pyvmomi""]",[]
deepseekcoder,Base,A,1178__repeat_3,1178,parse_failure,SyntaxError,1e756d3b59b23f1aa9910959030b37505246586905efbdb659b5747667cd17b6,True,0,"[""com"", ""vmware""]","[""pyvim"", ""vmware""]","[""pyvim""]","[""vmware""]"
deepseekcoder,Base,A,1178__repeat_4,1178,parse_failure,SyntaxError,ce85e5e885d88843ad993485acce8f1c4cfee8950b90e9d98e9101acb5143461,True,0,"[""com"", ""ssl"", ""urllib3"", ""vmware""]","[""urllib3"", ""vmware""]","[""urllib3""]","[""vmware""]"
deepseekcoder,Base,A,1178__repeat_5,1178,ast_ok,,cff0ccf404c311a4ddc015c3bd6edb0aa500f5a29aca2782d129e0e968aab486,True,4,"[""pyVmomi""]","[""pyvmomi""]","[""pyvmomi""]",[]
deepseekcoder,Base,A,1947__repeat_1,1947,ast_ok,,20c4c1d215a9d5f121e69c4a1e46f059842c717966ce7e1fbb2d78e8a3d00f63,True,1,"[""hangul_utils""]","[""hangul-utils""]","[""hangul-utils""]",[]
deepseekcoder,Base,A,1947__repeat_2,1947,parse_failure,SyntaxError,eeba377ad855f08d1c8826dcbbacf1cf4ae549fdb40d060aea60361c7c026236,True,0,"[""hangul_utils""]","[""hangul-utils""]","[""hangul-utils""]",[]
deepseekcoder,Base,A,1947__repeat_3,1947,ast_ok,,e2595b7d87b6f351bda4f3ab3df258aeabba65485e277836ca0b350c492f7627,True,1,"[""hangul_utils""]","[""hangul-utils""]","[""hangul-utils""]",[]
deepseekcoder,Base,A,1947__repeat_4,1947,parse_failure,SyntaxError,0c2f254717e9ee3c63eba1d6be4f89913229d6bcb09a959ae09fd9fbf8de578f,True,0,"[""jamo"", ""sys""]","[""jamo""]","[""jamo""]",[]
deepseekcoder,Base,A,1947__repeat_5,1947,ast_ok,,6e2cd8dd3e3492fcb3db941b8e8e4141495364e66d2ec20933f8f1cf7a14864a,True,2,"[""hangul_syllable_dictionary"", ""re""]","[""hangul-syllable-dictionary""]",[],"[""hangul-syllable-dictionary""]"
