model,method,fold,generation_id,parso_count,tokenizer_count,extra_vs_tokenizer,missing_vs_tokenizer,rejected_import_nodes,boundary_rejected_nodes,parser_error
deepseekcoder,Base,A,2026__repeat_3,0,0,[],[],0,0,
deepseekcoder,Base,A,2026__repeat_4,0,0,[],[],0,0,
deepseekcoder,Base,A,2026__repeat_5,0,0,[],[],0,0,
deepseekcoder,Base,A,540__repeat_2,2,2,[],[],0,0,
deepseekcoder,Base,A,540__repeat_4,2,2,[],[],0,0,
deepseekcoder,Base,A,399__repeat_2,3,3,[],[],0,0,
deepseekcoder,Base,A,399__repeat_4,3,3,[],[],0,0,
deepseekcoder,Base,A,3562__repeat_2,1,1,[],[],0,0,
deepseekcoder,Base,A,637__repeat_4,1,1,[],[],0,0,
deepseekcoder,Base,A,4881__repeat_1,0,0,[],[],0,0,
deepseekcoder,Base,A,4881__repeat_3,0,0,[],[],0,0,
deepseekcoder,Base,A,2113__repeat_5,1,1,[],[],0,0,
deepseekcoder,Base,A,4856__repeat_4,2,2,[],[],0,0,
deepseekcoder,Base,A,313__repeat_2,0,0,[],[],0,0,
deepseekcoder,Base,A,4196__repeat_3,1,1,[],[],0,0,
deepseekcoder,Base,A,4196__repeat_5,1,1,[],[],0,0,
deepseekcoder,Base,A,446__repeat_1,2,2,[],[],0,0,
deepseekcoder,BOUND,A,3063__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,A,3063__repeat_4,1,1,[],[],0,0,
deepseekcoder,BOUND,A,4381__repeat_4,3,3,[],[],0,0,
deepseekcoder,BOUND,A,1178__repeat_3,3,3,[],[],0,0,
deepseekcoder,BOUND,A,2379__repeat_1,2,2,[],[],0,0,
deepseekcoder,BOUND,A,1981__repeat_4,4,4,[],[],0,0,
deepseekcoder,BOUND,A,1085__repeat_1,4,4,[],[],0,0,
deepseekcoder,BOUND,A,1085__repeat_2,6,6,[],[],0,0,
deepseekcoder,BOUND,A,1085__repeat_4,8,8,[],[],0,0,
deepseekcoder,BOUND,A,1085__repeat_5,4,4,[],[],0,0,
deepseekcoder,BOUND,A,88__repeat_5,9,9,[],[],0,0,
deepseekcoder,BOUND,A,1871__repeat_4,3,3,[],[],0,0,
deepseekcoder,BOUND,A,3994__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,A,3916__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,A,3916__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,A,3916__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,A,3916__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,A,4355__repeat_5,4,4,[],[],0,0,
deepseekcoder,BOUND,A,250__repeat_2,3,3,[],[],0,0,
deepseekcoder,BOUND,A,4729__repeat_2,3,3,[],[],0,0,
deepseekcoder,BOUND,A,2882__repeat_2,4,4,[],[],0,0,
deepseekcoder,BOUND,A,2026__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,A,2026__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,A,2026__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,A,2026__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,A,2026__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,A,1798__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,A,4881__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,A,4881__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,A,2113__repeat_4,2,2,[],[],0,0,
deepseekcoder,BOUND,A,64__repeat_5,2,2,[],[],0,0,
deepseekcoder,BOUND,A,2398__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,A,982__repeat_2,2,2,[],[],0,0,
deepseekcoder,BOUND,B,4126__repeat_5,3,3,[],[],0,0,
deepseekcoder,BOUND,B,2000__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,B,2347__repeat_2,6,6,[],[],0,0,
deepseekcoder,BOUND,B,59__repeat_4,6,6,[],[],0,0,
deepseekcoder,BOUND,B,3959__repeat_5,2,2,[],[],0,0,
deepseekcoder,BOUND,B,1947__repeat_5,2,2,[],[],0,0,
deepseekcoder,BOUND,B,2941__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,B,1085__repeat_2,5,5,[],[],0,0,
deepseekcoder,BOUND,B,1085__repeat_3,4,4,[],[],0,0,
deepseekcoder,BOUND,B,1085__repeat_4,10,10,[],[],0,0,
deepseekcoder,BOUND,B,1085__repeat_5,4,4,[],[],0,0,
deepseekcoder,BOUND,B,4720__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,B,4720__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,B,1871__repeat_3,2,2,[],[],0,0,
deepseekcoder,BOUND,B,3994__repeat_4,2,2,[],[],0,0,
deepseekcoder,BOUND,B,3994__repeat_5,1,1,[],[],0,0,
deepseekcoder,BOUND,B,3916__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,B,3916__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,B,3916__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,B,1020__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,B,2026__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,B,2026__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,B,2026__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,B,2026__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,B,2931__repeat_4,4,4,[],[],0,0,
deepseekcoder,BOUND,B,4559__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,B,4559__repeat_5,2,2,[],[],0,0,
deepseekcoder,BOUND,B,4825__repeat_4,2,2,[],[],0,0,
deepseekcoder,BOUND,B,2611__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,B,2113__repeat_2,5,5,[],[],0,0,
deepseekcoder,BOUND,B,2113__repeat_4,4,4,[],[],0,0,
deepseekcoder,BOUND,B,64__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,B,1725__repeat_5,4,4,[],[],0,0,
deepseekcoder,BOUND,B,2398__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,B,2398__repeat_4,1,1,[],[],0,0,
deepseekcoder,BOUND,B,3155__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,B,3155__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,C,4126__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,C,4126__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,C,4126__repeat_5,3,3,[],[],0,0,
deepseekcoder,BOUND,C,2845__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,C,3063__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,C,2773__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,C,2941__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,C,1366__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,C,1085__repeat_1,13,13,[],[],0,0,
deepseekcoder,BOUND,C,1085__repeat_2,8,8,[],[],0,0,
deepseekcoder,BOUND,C,1085__repeat_4,48,48,[],[],0,0,
deepseekcoder,BOUND,C,2939__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,C,3994__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,C,3916__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,C,3916__repeat_4,2,2,[],[],0,0,
deepseekcoder,BOUND,C,250__repeat_3,5,5,[],[],0,0,
deepseekcoder,BOUND,C,4887__repeat_1,4,4,[],[],0,0,
deepseekcoder,BOUND,C,2483__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,C,4521__repeat_4,1,1,[],[],0,0,
deepseekcoder,BOUND,C,2026__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,C,2026__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,C,2026__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,C,2026__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,C,540__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,C,399__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,C,1522__repeat_5,2,2,[],[],0,0,
deepseekcoder,BOUND,C,446__repeat_4,2,2,[],[],0,0,
deepseekcoder,BOUND,D,4126__repeat_1,1,1,[],[],0,0,
deepseekcoder,BOUND,D,2845__repeat_2,4,4,[],[],0,0,
deepseekcoder,BOUND,D,2000__repeat_2,2,2,[],[],0,0,
deepseekcoder,BOUND,D,2000__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2347__repeat_5,6,6,[],[],0,0,
deepseekcoder,BOUND,D,4699__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,D,4789__repeat_1,2,2,[],[],0,0,
deepseekcoder,BOUND,D,1947__repeat_4,3,3,[],[],0,0,
deepseekcoder,BOUND,D,1767__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,D,1630__repeat_1,3,3,[],[],0,0,
deepseekcoder,BOUND,D,2941__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,D,1085__repeat_1,25,25,[],[],0,0,
deepseekcoder,BOUND,D,1085__repeat_2,7,7,[],[],0,0,
deepseekcoder,BOUND,D,1085__repeat_3,6,6,[],[],0,0,
deepseekcoder,BOUND,D,1085__repeat_4,10,10,[],[],0,0,
deepseekcoder,BOUND,D,1085__repeat_5,3,3,[],[],0,0,
deepseekcoder,BOUND,D,4720__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2609__repeat_2,3,3,[],[],0,0,
deepseekcoder,BOUND,D,2609__repeat_5,4,4,[],[],0,0,
deepseekcoder,BOUND,D,2939__repeat_2,1,1,[],[],0,0,
deepseekcoder,BOUND,D,2939__repeat_3,3,3,[],[],0,0,
deepseekcoder,BOUND,D,4863__repeat_5,5,5,[],[],0,0,
deepseekcoder,BOUND,D,1293__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,D,3916__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,D,3916__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,D,4355__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2010__repeat_1,4,4,[],[],0,0,
deepseekcoder,BOUND,D,1683__repeat_2,2,2,[],[],0,0,
deepseekcoder,BOUND,D,3508__repeat_3,3,3,[],[],0,0,
deepseekcoder,BOUND,D,2882__repeat_3,1,1,[],[],0,0,
deepseekcoder,BOUND,D,2026__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2026__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2026__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2026__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2026__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,D,540__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,D,399__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,D,399__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2931__repeat_2,2,2,[],[],0,0,
deepseekcoder,BOUND,D,4559__repeat_5,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2465__repeat_1,0,0,[],[],0,0,
deepseekcoder,BOUND,D,2113__repeat_1,8,8,[],[],0,0,
deepseekcoder,BOUND,D,3693__repeat_4,1,1,[],[],0,0,
deepseekcoder,BOUND,D,4081__repeat_1,3,3,[],[],0,0,
deepseekcoder,BOUND,D,4299__repeat_3,0,0,[],[],0,0,
deepseekcoder,BOUND,D,1522__repeat_2,4,4,[],[],0,0,
deepseekcoder,BOUND,D,313__repeat_2,0,0,[],[],0,0,
deepseekcoder,BOUND,D,313__repeat_4,0,0,[],[],0,0,
deepseekcoder,BOUND,D,446__repeat_4,2,2,[],[],0,0,
deepseekcoder,ROME,A,270__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,270__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,270__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,270__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,270__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4126__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4126__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4126__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4126__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4126__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2845__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2845__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2845__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2845__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2845__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,782__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,782__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,782__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,782__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,782__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,3302__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,3302__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,3302__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,3302__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,3302__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,3063__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,3063__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,3063__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,3063__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,3063__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2000__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2000__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2000__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2000__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2000__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2347__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2347__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2347__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2347__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2347__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,59__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,59__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,59__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,59__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,59__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4381__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4381__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4381__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4381__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4381__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,547__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,547__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,547__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,547__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,547__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4477__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4477__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4477__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4477__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4477__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,3959__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,3959__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,3959__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,3959__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,3959__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4699__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4699__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4699__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4699__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4699__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4789__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4789__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4789__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4789__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4789__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,562__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,562__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,562__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,562__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,562__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2773__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2773__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2773__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2773__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2773__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2431__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2431__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2431__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2431__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2431__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1178__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1178__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1178__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1178__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1178__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1947__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1947__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1947__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1947__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1947__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,3002__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,3002__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,3002__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,3002__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,3002__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2379__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2379__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2379__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2379__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2379__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1767__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1767__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1767__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1767__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1767__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,3359__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,3359__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,3359__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,3359__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,3359__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1630__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1630__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1630__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1630__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1630__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2941__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2941__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2941__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2941__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2941__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1424__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1424__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1424__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1424__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1424__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1366__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1366__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1366__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1366__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1366__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1981__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1981__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1981__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1981__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1981__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1085__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1085__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1085__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1085__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1085__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4720__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4720__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4720__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4720__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4720__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2609__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2609__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2609__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2609__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2609__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4525__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4525__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,4525__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,4525__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,4525__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,682__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,682__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,682__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,682__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,682__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,2939__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,2939__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,2939__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,2939__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,2939__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,88__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,88__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,88__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,88__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,88__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,1871__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,1871__repeat_2,0,0,[],[],0,0,
deepseekcoder,ROME,A,1871__repeat_3,0,0,[],[],0,0,
deepseekcoder,ROME,A,1871__repeat_4,0,0,[],[],0,0,
deepseekcoder,ROME,A,1871__repeat_5,0,0,[],[],0,0,
deepseekcoder,ROME,A,4863__repeat_1,0,0,[],[],0,0,
deepseekcoder,ROME,A,4863__repeat_2,0,0,[],[],0,0,
