import_path,answer_occurrences,status,candidate_distributions,evidence,example_generations,human_decision,human_evidence
vimeo,89,unknown,[],,deepseekcoder/Base/A/2398__repeat_1 | deepseekcoder/Base/A/2398__repeat_2 | deepseekcoder/Base/A/2398__repeat_3,,
collectd,88,unknown,[],,deepseekcoder/Base/A/4381__repeat_1 | deepseekcoder/Base/A/4381__repeat_2 | deepseekcoder/Base/A/4381__repeat_3,,
collada,84,unknown,[],,deepseekcoder/Base/A/3693__repeat_1 | deepseekcoder/Base/A/3693__repeat_2 | deepseekcoder/Base/A/3693__repeat_3,,
oneagent,84,unknown,[],,qwen3/Base/A/4015__repeat_1 | qwen3/Base/A/4015__repeat_2 | qwen3/Base/A/4015__repeat_3,,
pyexifread,82,unknown,[],,deepseekcoder/Base/A/4196__repeat_1 | deepseekcoder/Base/A/4196__repeat_2 | deepseekcoder/Base/A/4196__repeat_3,,
depthai,82,unknown,[],,qwen3/Base/A/3140__repeat_1 | qwen3/Base/A/3140__repeat_2 | qwen3/Base/A/3140__repeat_3,,
aliyunsdkcore.client,81,unknown,[],,qwen3/Base/A/2298__repeat_1 | qwen3/Base/A/2298__repeat_2 | qwen3/Base/A/2298__repeat_3,,
lambda_function,79,unknown,[],,qwen3/Base/A/2678__repeat_1 | qwen3/Base/A/2678__repeat_2 | qwen3/Base/A/2678__repeat_3,,
tortoise,78,ambiguous_namespace,"[""tortoise"", ""tortoise-orm""]",https://files.pythonhosted.org/packages/16/ef/b314819f12e48e7a99f07825d064b596d58cc4a0c3b75939d0d10fedf90d/tortoise-0.1.1-py3-none-any.whl#sha256=bcb58a56d6796cad0db330104450df2caf2ea9e98d844bb2906274bd15c12804 | https://files.pythonhosted.org/packages/8a/52/5508cea1339bf9de5016a1ace71e2cca51faf07c54cf54dc3d3ce25e07e1/tortoise_orm-1.1.8-py3-none-any.whl#sha256=3f771365c54297543b3b2b7fab4ecb03e89de0a68a41328d2e171c043e08e911,deepseekcoder/Base/A/4117__repeat_1 | deepseekcoder/Base/A/4117__repeat_2 | deepseekcoder/Base/A/4117__repeat_3,,
ipset,78,unknown,[],,qwen3/Base/A/3459__repeat_1 | qwen3/Base/A/3459__repeat_2 | qwen3/Base/A/3459__repeat_3,,
panos,77,unknown,[],,deepseekcoder/Base/A/2113__repeat_1 | deepseekcoder/Base/A/2113__repeat_2 | deepseekcoder/Base/A/2113__repeat_3,,
rdkit,77,unknown,[],,qwen3/Base/A/1603__repeat_1 | qwen3/Base/A/1603__repeat_2 | qwen3/Base/A/1603__repeat_3,,
rospy,76,unknown,[],,deepseekcoder/Base/A/4525__repeat_1 | deepseekcoder/Base/A/4525__repeat_3 | deepseekcoder/Base/A/4355__repeat_5,,
pyspark.sql.functions,75,unknown,[],,deepseekcoder/Base/A/1424__repeat_1 | deepseekcoder/Base/A/1424__repeat_2 | deepseekcoder/Base/A/1424__repeat_4,,
sqlqueryengine,75,unknown,[],,qwen3/Base/A/4818__repeat_1 | qwen3/Base/A/4818__repeat_2 | qwen3/Base/A/4818__repeat_3,,
openjpeg,74,unknown,[],,deepseekcoder/Base/A/2195__repeat_1 | deepseekcoder/Base/A/2195__repeat_3 | deepseekcoder/Base/A/2195__repeat_4,,
gitlab_ci_parser,74,unknown,[],,qwen3/Base/A/955__repeat_1 | qwen3/Base/A/955__repeat_2 | qwen3/Base/A/955__repeat_3,,
aggrid,74,unknown,[],,qwen3/Base/A/1118__repeat_1 | qwen3/Base/A/1118__repeat_2 | qwen3/Base/A/1118__repeat_3,,
opentelemetry.exporter.azuremonitor,72,ambiguous_namespace,"[""opentelemetry-api"", ""opentelemetry-exporter-otlp"", ""opentelemetry-exporter-otlp-proto-common"", ""opentelemetry-exporter-otlp-proto-grpc"", ""opentelemetry-exporter-otlp-proto-http"", ""opentelemetry-proto"", ""opentelemetry-sdk"", ""opentelemetry-semantic-conventions"", ""opentelemetry-semantic-conventions-ai""]",/home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | https://files.pythonhosted.org/packages/89/fb/b3c4750238c1c9686de37d3912357c9b94286b64fe594404a39908064f78/opentelemetry_exporter_otlp-1.45.0-py3-none-any.whl#sha256=3de9a5b18648dc124c751f547d8c7a93b177ddae552566981a792d18a063145c,qwen3/Base/A/1211__repeat_1 | qwen3/Base/A/1211__repeat_2 | qwen3/Base/A/1211__repeat_3,,
azure.cli,72,ambiguous_namespace,"[""azure-core"", ""azure-identity"", ""azure-mgmt-resource"", ""azure-storage-blob""]",https://files.pythonhosted.org/packages/49/9a/417b3a533e01953a7c618884df2cb05a71e7b68bdbce4fbdb62349d2a2e8/azure_identity-1.25.3-py3-none-any.whl#sha256=f4d0b956a8146f30333e071374171f3cfa7bdb8073adb8c3814b65567aa7447c | https://files.pythonhosted.org/packages/5b/db/325c6d7312d2200251c52323878281045aaffcb5586612296484e4280eaa/azure_core-1.41.0-py3-none-any.whl#sha256=522b4011e8180b1a3dcd2024396a4e7fe9ac37fb8597db47163d230b5efe892d | https://files.pythonhosted.org/packages/e6/6e/3e776a0817ebe3558fbd8d3f98b1bd8fa75a46596e5cf9bb4377960c4611/azure_mgmt_resource-26.0.0-py3-none-any.whl#sha256=ef36559a4c0843b4272aa584efb455c686e4c3f6357421b38c82f405c01a9a9f | https://files.pythonhosted.org/packages/ff/20/6530bbc13fea536a1f2c0194034ae3f6880fbc0c1e7c229e3569450f7aef/azure_storage_blob-12.30.3-py3-none-any.whl#sha256=80729a5397e5f0a63dbbdff74da675c5db1eacaf25fd5db0074b7ba6c17e2498,qwen3/Base/A/1083__repeat_1 | qwen3/Base/A/1083__repeat_2 | qwen3/Base/A/1083__repeat_3,,
typeshed,71,unknown,[],,qwen3/Base/A/681__repeat_1 | qwen3/Base/A/681__repeat_2 | qwen3/Base/A/681__repeat_3,,
arc,70,unknown,[],,qwen3/Base/A/4284__repeat_1 | qwen3/Base/A/4284__repeat_2 | qwen3/Base/A/4284__repeat_3,,
dkim,69,unknown,[],,qwen3/Base/A/4284__repeat_1 | qwen3/Base/A/4284__repeat_2 | qwen3/Base/A/4284__repeat_3,,
tlsrpt,69,unknown,[],,qwen3/Base/A/4284__repeat_1 | qwen3/Base/A/4284__repeat_2 | qwen3/Base/A/4284__repeat_3,,
rdkit.Chem,69,unknown,[],,qwen3/Base/A/1603__repeat_1 | qwen3/Base/A/1603__repeat_2 | qwen3/Base/A/1603__repeat_3,,
azure.cognitiveservices.speech,69,ambiguous_namespace,"[""azure-core"", ""azure-identity"", ""azure-mgmt-resource"", ""azure-storage-blob""]",https://files.pythonhosted.org/packages/49/9a/417b3a533e01953a7c618884df2cb05a71e7b68bdbce4fbdb62349d2a2e8/azure_identity-1.25.3-py3-none-any.whl#sha256=f4d0b956a8146f30333e071374171f3cfa7bdb8073adb8c3814b65567aa7447c | https://files.pythonhosted.org/packages/5b/db/325c6d7312d2200251c52323878281045aaffcb5586612296484e4280eaa/azure_core-1.41.0-py3-none-any.whl#sha256=522b4011e8180b1a3dcd2024396a4e7fe9ac37fb8597db47163d230b5efe892d | https://files.pythonhosted.org/packages/e6/6e/3e776a0817ebe3558fbd8d3f98b1bd8fa75a46596e5cf9bb4377960c4611/azure_mgmt_resource-26.0.0-py3-none-any.whl#sha256=ef36559a4c0843b4272aa584efb455c686e4c3f6357421b38c82f405c01a9a9f | https://files.pythonhosted.org/packages/ff/20/6530bbc13fea536a1f2c0194034ae3f6880fbc0c1e7c229e3569450f7aef/azure_storage_blob-12.30.3-py3-none-any.whl#sha256=80729a5397e5f0a63dbbdff74da675c5db1eacaf25fd5db0074b7ba6c17e2498,qwen3/Base/A/2608__repeat_1 | qwen3/Base/A/2608__repeat_2 | qwen3/Base/A/2608__repeat_3,,
opentelemetry.exporter,68,ambiguous_namespace,"[""opentelemetry-exporter-otlp"", ""opentelemetry-exporter-otlp-proto-common"", ""opentelemetry-exporter-otlp-proto-grpc"", ""opentelemetry-exporter-otlp-proto-http""]",/home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | https://files.pythonhosted.org/packages/89/fb/b3c4750238c1c9686de37d3912357c9b94286b64fe594404a39908064f78/opentelemetry_exporter_otlp-1.45.0-py3-none-any.whl#sha256=3de9a5b18648dc124c751f547d8c7a93b177ddae552566981a792d18a063145c,deepseekcoder/Base/A/88__repeat_2 | deepseekcoder/Base/A/88__repeat_5 | deepseekcoder/BOUND/A/88__repeat_3,,
securesession,67,unknown,[],,qwen3/Base/A/1970__repeat_1 | qwen3/Base/A/1970__repeat_2 | qwen3/Base/A/1970__repeat_3,,
pylabelstudio,65,unknown,[],,deepseekcoder/Base/A/2845__repeat_1 | deepseekcoder/Base/A/2845__repeat_2 | deepseekcoder/Base/A/2845__repeat_3,,
pydanny,65,unknown,[],,deepseekcoder/Base/A/4809__repeat_1 | deepseekcoder/Base/A/4809__repeat_2 | deepseekcoder/Base/A/4809__repeat_3,,
gym,65,unknown,[],,qwen3/Base/A/1446__repeat_1 | qwen3/Base/A/1446__repeat_2 | qwen3/Base/A/1446__repeat_3,,
keeper_secrets_manager,64,unknown,[],,deepseekcoder/Base/A/4559__repeat_2 | deepseekcoder/Base/A/4559__repeat_4 | deepseekcoder/Base/A/4559__repeat_5,,
ot,64,unknown,[],,qwen3/Base/A/3333__repeat_1 | qwen3/Base/A/3333__repeat_2 | qwen3/Base/A/3333__repeat_3,,
splitio,64,unknown,[],,qwen3/Base/A/1668__repeat_1 | qwen3/Base/A/1668__repeat_3 | qwen3/Base/A/1668__repeat_4,,
objc,63,unknown,[],,deepseekcoder/Base/A/1767__repeat_3 | deepseekcoder/Base/A/1767__repeat_5 | deepseekcoder/BOUND/A/1767__repeat_3,,
pydantic_camelcase,62,unknown,[],,qwen3/Base/A/2706__repeat_1 | qwen3/Base/A/2706__repeat_2 | qwen3/Base/A/2706__repeat_3,,
ats_query,61,unknown,[],,qwen3/Base/A/4815__repeat_1 | qwen3/Base/A/4815__repeat_2 | qwen3/Base/A/4815__repeat_3,,
aliyunsdkcore.acs_exception.exceptions,61,unknown,[],,qwen3/Base/A/2298__repeat_1 | qwen3/Base/A/2298__repeat_2 | qwen3/Base/A/2298__repeat_3,,
aliyunsdkcore.request,59,unknown,[],,qwen3/Base/A/2298__repeat_1 | qwen3/Base/A/2298__repeat_2 | qwen3/Base/A/2298__repeat_4,,
speech_recognition,58,unknown,[],,deepseekcoder/Base/A/1767__repeat_2 | deepseekcoder/BOUND/A/2000__repeat_1 | deepseekcoder/BOUND/A/1767__repeat_1,,
dataworld,58,unknown,[],,qwen3/Base/A/3778__repeat_1 | qwen3/Base/A/3778__repeat_2 | qwen3/Base/A/3778__repeat_3,,
mantine,57,unknown,[],,qwen3/Base/A/2517__repeat_2 | qwen3/Base/A/2517__repeat_4 | qwen3/Base/A/2517__repeat_5,,
owncloud,56,unknown,[],,qwen3/Base/A/2140__repeat_1 | qwen3/Base/A/2140__repeat_2 | qwen3/Base/A/2140__repeat_3,,
dremio,56,unknown,[],,qwen3/Base/A/4498__repeat_1 | qwen3/Base/A/4498__repeat_2 | qwen3/Base/A/4498__repeat_3,,
azure.cognitiveservices.language.textanalytics,54,ambiguous_namespace,"[""azure-core"", ""azure-identity"", ""azure-mgmt-resource"", ""azure-storage-blob""]",https://files.pythonhosted.org/packages/49/9a/417b3a533e01953a7c618884df2cb05a71e7b68bdbce4fbdb62349d2a2e8/azure_identity-1.25.3-py3-none-any.whl#sha256=f4d0b956a8146f30333e071374171f3cfa7bdb8073adb8c3814b65567aa7447c | https://files.pythonhosted.org/packages/5b/db/325c6d7312d2200251c52323878281045aaffcb5586612296484e4280eaa/azure_core-1.41.0-py3-none-any.whl#sha256=522b4011e8180b1a3dcd2024396a4e7fe9ac37fb8597db47163d230b5efe892d | https://files.pythonhosted.org/packages/e6/6e/3e776a0817ebe3558fbd8d3f98b1bd8fa75a46596e5cf9bb4377960c4611/azure_mgmt_resource-26.0.0-py3-none-any.whl#sha256=ef36559a4c0843b4272aa584efb455c686e4c3f6357421b38c82f405c01a9a9f | https://files.pythonhosted.org/packages/ff/20/6530bbc13fea536a1f2c0194034ae3f6880fbc0c1e7c229e3569450f7aef/azure_storage_blob-12.30.3-py3-none-any.whl#sha256=80729a5397e5f0a63dbbdff74da675c5db1eacaf25fd5db0074b7ba6c17e2498,qwen3/Base/A/2608__repeat_1 | qwen3/Base/A/2608__repeat_2 | qwen3/Base/A/2608__repeat_3,,
Foundation,53,unknown,[],,deepseekcoder/Base/A/1767__repeat_3 | deepseekcoder/Base/A/1767__repeat_5 | deepseekcoder/Base/A/399__repeat_2,,
nis_elements,52,unknown,[],,deepseekcoder/Base/A/3508__repeat_1 | deepseekcoder/Base/A/3508__repeat_5 | deepseekcoder/BOUND/A/3508__repeat_1,,
supabase_py,52,unknown,[],,deepseekcoder/Base/A/1020__repeat_1 | deepseekcoder/Base/A/1020__repeat_2 | deepseekcoder/Base/A/1020__repeat_3,,
configcat.client,52,unknown,[],,qwen3/Base/A/3131__repeat_1 | qwen3/Base/A/3131__repeat_2 | qwen3/Base/A/3131__repeat_3,,
pycuda.driver,51,unknown,[],,deepseekcoder/Base/A/2347__repeat_1 | deepseekcoder/Base/A/59__repeat_4 | deepseekcoder/Base/A/64__repeat_2,,
lumigo,51,unknown,[],,deepseekcoder/Base/A/1522__repeat_1 | deepseekcoder/Base/A/1522__repeat_4 | deepseekcoder/BOUND/A/1522__repeat_2,,
bedtools,50,unknown,[],,qwen3/Base/A/1915__repeat_1 | qwen3/Base/A/1915__repeat_2 | qwen3/Base/A/1915__repeat_3,,
opentelemetry.api,50,ambiguous_namespace,"[""opentelemetry-api"", ""opentelemetry-exporter-otlp"", ""opentelemetry-exporter-otlp-proto-common"", ""opentelemetry-exporter-otlp-proto-grpc"", ""opentelemetry-exporter-otlp-proto-http"", ""opentelemetry-proto"", ""opentelemetry-sdk"", ""opentelemetry-semantic-conventions"", ""opentelemetry-semantic-conventions-ai""]",/home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | https://files.pythonhosted.org/packages/89/fb/b3c4750238c1c9686de37d3912357c9b94286b64fe594404a39908064f78/opentelemetry_exporter_otlp-1.45.0-py3-none-any.whl#sha256=3de9a5b18648dc124c751f547d8c7a93b177ddae552566981a792d18a063145c,llama3.1/Base/A/755__repeat_3 | llama3.1/Base/A/2770__repeat_1 | llama3.1/Base/A/2770__repeat_2,,
pycuda.autoinit,49,unknown,[],,deepseekcoder/Base/A/2347__repeat_1 | deepseekcoder/Base/A/59__repeat_5 | deepseekcoder/Base/A/64__repeat_2,,
libheif,49,unknown,[],,deepseekcoder/Base/A/4477__repeat_1 | deepseekcoder/Base/A/4477__repeat_3 | deepseekcoder/Base/A/4477__repeat_4,,
azure.cognitiveservices.vision.face,49,ambiguous_namespace,"[""azure-core"", ""azure-identity"", ""azure-mgmt-resource"", ""azure-storage-blob""]",https://files.pythonhosted.org/packages/49/9a/417b3a533e01953a7c618884df2cb05a71e7b68bdbce4fbdb62349d2a2e8/azure_identity-1.25.3-py3-none-any.whl#sha256=f4d0b956a8146f30333e071374171f3cfa7bdb8073adb8c3814b65567aa7447c | https://files.pythonhosted.org/packages/5b/db/325c6d7312d2200251c52323878281045aaffcb5586612296484e4280eaa/azure_core-1.41.0-py3-none-any.whl#sha256=522b4011e8180b1a3dcd2024396a4e7fe9ac37fb8597db47163d230b5efe892d | https://files.pythonhosted.org/packages/e6/6e/3e776a0817ebe3558fbd8d3f98b1bd8fa75a46596e5cf9bb4377960c4611/azure_mgmt_resource-26.0.0-py3-none-any.whl#sha256=ef36559a4c0843b4272aa584efb455c686e4c3f6357421b38c82f405c01a9a9f | https://files.pythonhosted.org/packages/ff/20/6530bbc13fea536a1f2c0194034ae3f6880fbc0c1e7c229e3569450f7aef/azure_storage_blob-12.30.3-py3-none-any.whl#sha256=80729a5397e5f0a63dbbdff74da675c5db1eacaf25fd5db0074b7ba6c17e2498,qwen3/Base/A/2608__repeat_1 | qwen3/Base/A/2608__repeat_2 | qwen3/Base/A/2608__repeat_4,,
fontpy,49,unknown,[],,qwen3/Base/A/89__repeat_1 | qwen3/Base/A/89__repeat_2 | qwen3/Base/A/89__repeat_3,,
AppKit,47,unknown,[],,deepseekcoder/Base/A/1767__repeat_2 | deepseekcoder/Base/A/1767__repeat_5 | deepseekcoder/BOUND/A/1767__repeat_3,,
LargeImage,47,unknown,[],,qwen3/Base/A/3157__repeat_2 | qwen3/Base/A/3157__repeat_3 | qwen3/Base/A/3157__repeat_4,,
genpy,46,unknown,[],,deepseekcoder/Base/A/4355__repeat_1 | deepseekcoder/Base/A/4355__repeat_3 | deepseekcoder/Base/A/4355__repeat_4,,
pyliquid,46,unknown,[],,qwen3/Base/A/3349__repeat_1 | qwen3/Base/A/3349__repeat_2 | qwen3/Base/A/3349__repeat_3,,
pulumi_azure_native,45,unknown,[],,deepseekcoder/Base/A/4789__repeat_1 | deepseekcoder/Base/A/4789__repeat_2 | deepseekcoder/Base/A/4789__repeat_4,,
flask_idempotency,45,unknown,[],,llama3.1/Base/A/796__repeat_1 | llama3.1/Base/A/796__repeat_2 | llama3.1/Base/A/796__repeat_3,,
sip,44,unknown,[],,deepseekcoder/BOUND/A/4126__repeat_1 | deepseekcoder/BOUND/A/4126__repeat_2 | deepseekcoder/BOUND/A/4126__repeat_4,,
configcat,44,unknown,[],,qwen3/BOUND/A/3131__repeat_3 | qwen3/BOUND/C/3131__repeat_3 | qwen3/BOUND/C/3131__repeat_4,,
torrent,44,unknown,[],,llama3.1/Base/A/3506__repeat_1 | llama3.1/Base/A/3506__repeat_2 | llama3.1/Base/A/3506__repeat_3,,
cdktf_cdktf_provider_aws,43,unknown,[],,deepseekcoder/Base/A/3959__repeat_1 | deepseekcoder/Base/A/3959__repeat_3 | deepseekcoder/Base/A/3959__repeat_5,,
pyspark.sql.types,43,unknown,[],,deepseekcoder/Base/A/1424__repeat_1 | deepseekcoder/Base/A/1424__repeat_2 | deepseekcoder/Base/A/1424__repeat_4,,
std_msgs.msg,43,unknown,[],,deepseekcoder/Base/A/4355__repeat_5 | deepseekcoder/BOUND/A/4355__repeat_2 | deepseekcoder/BOUND/A/4355__repeat_3,,
tidylib,43,unknown,[],,llama3.1/Base/A/4647__repeat_1 | llama3.1/Base/A/4647__repeat_2 | llama3.1/Base/A/4647__repeat_3,,
azure.cognitiveservices.vision.face.models,42,ambiguous_namespace,"[""azure-core"", ""azure-identity"", ""azure-mgmt-resource"", ""azure-storage-blob""]",https://files.pythonhosted.org/packages/49/9a/417b3a533e01953a7c618884df2cb05a71e7b68bdbce4fbdb62349d2a2e8/azure_identity-1.25.3-py3-none-any.whl#sha256=f4d0b956a8146f30333e071374171f3cfa7bdb8073adb8c3814b65567aa7447c | https://files.pythonhosted.org/packages/5b/db/325c6d7312d2200251c52323878281045aaffcb5586612296484e4280eaa/azure_core-1.41.0-py3-none-any.whl#sha256=522b4011e8180b1a3dcd2024396a4e7fe9ac37fb8597db47163d230b5efe892d | https://files.pythonhosted.org/packages/e6/6e/3e776a0817ebe3558fbd8d3f98b1bd8fa75a46596e5cf9bb4377960c4611/azure_mgmt_resource-26.0.0-py3-none-any.whl#sha256=ef36559a4c0843b4272aa584efb455c686e4c3f6357421b38c82f405c01a9a9f | https://files.pythonhosted.org/packages/ff/20/6530bbc13fea536a1f2c0194034ae3f6880fbc0c1e7c229e3569450f7aef/azure_storage_blob-12.30.3-py3-none-any.whl#sha256=80729a5397e5f0a63dbbdff74da675c5db1eacaf25fd5db0074b7ba6c17e2498,qwen3/Base/A/2608__repeat_1 | qwen3/Base/A/2608__repeat_2 | qwen3/Base/A/2608__repeat_4,,
cdxj,42,unknown,[],,llama3.1/Base/A/3047__repeat_1 | llama3.1/Base/A/3047__repeat_2 | llama3.1/Base/A/3047__repeat_3,,
jalali,42,unknown,[],,llama3.1/Base/A/4161__repeat_1 | llama3.1/Base/A/4161__repeat_2 | llama3.1/Base/A/4161__repeat_3,,
pyautogui,41,unknown,[],,deepseekcoder/Base/A/1767__repeat_2 | deepseekcoder/BOUND/A/1767__repeat_1 | deepseekcoder/BOUND/A/1767__repeat_2,,
opentelemetry.exporter.jaeger.thrift,41,ambiguous_namespace,"[""opentelemetry-api"", ""opentelemetry-exporter-otlp"", ""opentelemetry-exporter-otlp-proto-common"", ""opentelemetry-exporter-otlp-proto-grpc"", ""opentelemetry-exporter-otlp-proto-http"", ""opentelemetry-proto"", ""opentelemetry-sdk"", ""opentelemetry-semantic-conventions"", ""opentelemetry-semantic-conventions-ai""]",/home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | /home/shuhanliu/miniconda3/envs/vllm/lib/python3.1/site-packages | https://files.pythonhosted.org/packages/89/fb/b3c4750238c1c9686de37d3912357c9b94286b64fe594404a39908064f78/opentelemetry_exporter_otlp-1.45.0-py3-none-any.whl#sha256=3de9a5b18648dc124c751f547d8c7a93b177ddae552566981a792d18a063145c,deepseekcoder/Base/A/88__repeat_1 | deepseekcoder/Base/A/88__repeat_3 | deepseekcoder/Base/A/88__repeat_4,,
SqlLexer,41,unknown,[],,deepseekcoder/Base/A/250__repeat_2 | deepseekcoder/Base/A/250__repeat_3 | deepseekcoder/Base/A/250__repeat_4,,
SqlParser,41,unknown,[],,deepseekcoder/Base/A/250__repeat_2 | deepseekcoder/Base/A/250__repeat_3 | deepseekcoder/Base/A/250__repeat_4,,
